analysis_tier,dataset,model,corruption_scope,severity,method,bin,lower,upper,count,confidence,accuracy,mean_ece_from_metrics,std_ece_from_metrics,n_replicates,source_condition_count
secondary/exploratory,smids,mobilenet_v3_large,pooled_7_device_corruptions,3,raw_softmax,11,0.7333333333333333,0.8,361,0.7672916908343412,0.628808864265928,0.21387859744685034,0.06499868421705225,3,21
secondary/exploratory,smids,mobilenet_v3_large,pooled_7_device_corruptions,3,raw_softmax,12,0.8,0.8666666666666667,467,0.8349954562473093,0.6702355460385439,0.21387859744685034,0.06499868421705225,3,21
secondary/exploratory,smids,mobilenet_v3_large,pooled_7_device_corruptions,3,raw_softmax,13,0.8666666666666667,0.9333333333333333,691,0.9026559890610437,0.6570188133140377,0.21387859744685034,0.06499868421705225,3,21
secondary/exploratory,smids,mobilenet_v3_large,pooled_7_device_corruptions,3,raw_softmax,14,0.9333333333333333,1.0,3602,0.9825269111257867,0.7462520821765686,0.21387859744685034,0.06499868421705225,3,21
secondary/exploratory,smids,mobilenet_v3_large,pooled_7_device_corruptions,3,temperature,0,0.0,0.06666666666666667,0,,,0.20678684475876033,0.06589839761691337,3,21
secondary/exploratory,smids,mobilenet_v3_large,pooled_7_device_corruptions,3,temperature,1,0.06666666666666667,0.13333333333333333,0,,,0.20678684475876033,0.06589839761691337,3,21
secondary/exploratory,smids,mobilenet_v3_large,pooled_7_device_corruptions,3,temperature,2,0.13333333333333333,0.2,0,,,0.20678684475876033,0.06589839761691337,3,21
secondary/exploratory,smids,mobilenet_v3_large,pooled_7_device_corruptions,3,temperature,3,0.2,0.26666666666666666,0,,,0.20678684475876033,0.06589839761691337,3,21
secondary/exploratory,smids,mobilenet_v3_large,pooled_7_device_corruptions,3,temperature,4,0.26666666666666666,0.3333333333333333,0,,,0.20678684475876033,0.06589839761691337,3,21
secondary/exploratory,smids,mobilenet_v3_large,pooled_7_device_corruptions,3,temperature,5,0.3333333333333333,0.4,23,0.37296590209007263,0.391304347826087,0.20678684475876033,0.06589839761691337,3,21
secondary/exploratory,smids,mobilenet_v3_large,pooled_7_device_corruptions,3,temperature,6,0.4,0.4666666666666667,86,0.4401532321475273,0.36046511627906974,0.20678684475876033,0.06589839761691337,3,21
secondary/exploratory,smids,mobilenet_v3_large,pooled_7_device_corruptions,3,temperature,7,0.4666666666666667,0.5333333333333333,265,0.5052938012581951,0.4830188679245283,0.20678684475876033,0.06589839761691337,3,21
secondary/exploratory,smids,mobilenet_v3_large,pooled_7_device_corruptions,3,temperature,8,0.5333333333333333,0.6,287,0.5655692554101711,0.4912891986062718,0.20678684475876033,0.06589839761691337,3,21
secondary/exploratory,smids,mobilenet_v3_large,pooled_7_device_corruptions,3,temperature,9,0.6,0.6666666666666666,319,0.6345719444714369,0.5109717868338558,0.20678684475876033,0.06589839761691337,3,21
secondary/exploratory,smids,mobilenet_v3_large,pooled_7_device_corruptions,3,temperature,10,0.6666666666666666,0.7333333333333333,353,0.7009080103031299,0.6147308781869688,0.20678684475876033,0.06589839761691337,3,21
secondary/exploratory,smids,mobilenet_v3_large,pooled_7_device_corruptions,3,temperature,11,0.7333333333333333,0.8,402,0.7663256665367392,0.6517412935323383,0.20678684475876033,0.06589839761691337,3,21
secondary/exploratory,smids,mobilenet_v3_large,pooled_7_device_corruptions,3,temperature,12,0.8,0.8666666666666667,528,0.8350569735648055,0.6704545454545454,0.20678684475876033,0.06589839761691337,3,21
secondary/exploratory,smids,mobilenet_v3_large,pooled_7_device_corruptions,3,temperature,13,0.8666666666666667,0.9333333333333333,760,0.9038153048408659,0.6960526315789474,0.20678684475876033,0.06589839761691337,3,21
secondary/exploratory,smids,mobilenet_v3_large,pooled_7_device_corruptions,3,temperature,14,0.9333333333333333,1.0,3277,0.9805032061410088,0.7470247177296307,0.20678684475876033,0.06589839761691337,3,21
secondary/exploratory,smids,mobilenet_v3_large,pooled_7_device_corruptions,5,raw_softmax,0,0.0,0.06666666666666667,0,,,0.39728688837516873,0.1367639024188256,3,21
secondary/exploratory,smids,mobilenet_v3_large,pooled_7_device_corruptions,5,raw_softmax,1,0.06666666666666667,0.13333333333333333,0,,,0.39728688837516873,0.1367639024188256,3,21
secondary/exploratory,smids,mobilenet_v3_large,pooled_7_device_corruptions,5,raw_softmax,2,0.13333333333333333,0.2,0,,,0.39728688837516873,0.1367639024188256,3,21
