analysis_tier,dataset,model,corruption_scope,severity,method,metric,signal_label,n_replicates,mean,std,clean_mean,frozen_cutoff,normalized_mean,normalized_std,crossing_severity
secondary/exploratory,smids,xception,defocus_blur,0,aps,conformal_coverage,APS coverage,3,0.9866666666666667,0.005773502691896279,0.9866666666666667,0.85,-0.0,0.04224514164802154,
secondary/exploratory,smids,xception,defocus_blur,1,aps,conformal_coverage,APS coverage,3,0.9877777777777776,0.0038490017945976103,0.9866666666666667,0.85,-0.00813008130081184,0.02816342776534836,
secondary/exploratory,smids,xception,defocus_blur,2,aps,conformal_coverage,APS coverage,3,0.9899999999999999,0.0,0.9866666666666667,0.85,-0.024390243902437953,0.0,
secondary/exploratory,smids,xception,defocus_blur,3,aps,conformal_coverage,APS coverage,3,0.9888888888888888,0.005091750772173173,0.9866666666666667,0.85,-0.016260162601625303,0.03725671296712077,
secondary/exploratory,smids,xception,defocus_blur,4,aps,conformal_coverage,APS coverage,3,0.9833333333333334,0.0057735026918962545,0.9866666666666667,0.85,0.02439024390243877,0.04224514164802136,
secondary/exploratory,smids,xception,defocus_blur,5,aps,conformal_coverage,APS coverage,3,0.9666666666666667,0.01666666666666662,0.9866666666666667,0.85,0.14634146341463422,0.12195121951219474,
secondary/exploratory,smids,xception,defocus_blur,0,raw_softmax,accuracy,Accuracy,3,0.8877777777777779,0.021688023662159054,0.8877777777777779,0.8377777777777778,-0.0,0.4337604732431807,5.0
secondary/exploratory,smids,xception,defocus_blur,1,raw_softmax,accuracy,Accuracy,3,0.888888888888889,0.02009237924447236,0.8877777777777779,0.8377777777777778,-0.022222222222221234,0.40184758488944683,5.0
secondary/exploratory,smids,xception,defocus_blur,2,raw_softmax,accuracy,Accuracy,3,0.8888888888888888,0.026736020923368825,0.8877777777777779,0.8377777777777778,-0.022222222222219014,0.5347204184673761,5.0
secondary/exploratory,smids,xception,defocus_blur,3,raw_softmax,accuracy,Accuracy,3,0.8711111111111111,0.0096225044864938,0.8877777777777779,0.8377777777777778,0.3333333333333363,0.19245008972987585,5.0
secondary/exploratory,smids,xception,defocus_blur,4,raw_softmax,accuracy,Accuracy,3,0.8722222222222222,0.02912298316018034,0.8877777777777779,0.8377777777777778,0.31111111111111284,0.5824596632036063,5.0
secondary/exploratory,smids,xception,defocus_blur,5,raw_softmax,accuracy,Accuracy,3,0.8011111111111111,0.02795499027868701,0.8877777777777779,0.8377777777777778,1.733333333333334,0.5590998055737397,5.0
secondary/exploratory,smids,xception,defocus_blur,0,raw_softmax,ece,ECE,3,0.051576605041821766,0.02328901129418406,0.051576605041821766,0.10315321008364353,0.0,0.4515421531777784,
secondary/exploratory,smids,xception,defocus_blur,1,raw_softmax,ece,ECE,3,0.0565043414632479,0.017552216950972692,0.051576605041821766,0.10315321008364353,0.09554208574663635,0.3403135382164099,
secondary/exploratory,smids,xception,defocus_blur,2,raw_softmax,ece,ECE,3,0.0475223233302434,0.015765462303842997,0.051576605041821766,0.10315321008364353,-0.07860699067514976,0.3056708034788118,
secondary/exploratory,smids,xception,defocus_blur,3,raw_softmax,ece,ECE,3,0.05644581248362853,0.035217622154211724,0.051576605041821766,0.10315321008364353,0.09440728868948403,0.682821642208806,
secondary/exploratory,smids,xception,defocus_blur,4,raw_softmax,ece,ECE,3,0.06318125324116809,0.04150383503764407,0.051576605041821766,0.10315321008364353,0.22499829505909705,0.8047027330315747,
secondary/exploratory,smids,xception,defocus_blur,5,raw_softmax,ece,ECE,3,0.0632910530765851,0.036922468094641815,0.051576605041821766,0.10315321008364353,0.22712716405557276,0.7158762788807562,
secondary/exploratory,smids,xception,defocus_blur,0,raw_softmax,mean_predictive_entropy,Predictive entropy,3,0.28184684614340466,0.1500669198712702,0.28184684614340466,0.5636936922868093,0.0,0.5324413663827752,
secondary/exploratory,smids,xception,defocus_blur,1,raw_softmax,mean_predictive_entropy,Predictive entropy,3,0.2811098794142404,0.14964285932515767,0.28184684614340466,0.5636936922868093,-0.002614777277973383,0.5309367884465127,
secondary/exploratory,smids,xception,defocus_blur,2,raw_softmax,mean_predictive_entropy,Predictive entropy,3,0.29126141468683875,0.14834436085163866,0.28184684614340466,0.5636936922868093,0.03340313603737798,0.5263296818164874,
secondary/exploratory,smids,xception,defocus_blur,3,raw_softmax,mean_predictive_entropy,Predictive entropy,3,0.3740471601486206,0.1587927371427472,0.28184684614340466,0.5636936922868093,0.32712913153657963,0.5634007948485359,
secondary/exploratory,smids,xception,defocus_blur,4,raw_softmax,mean_predictive_entropy,Predictive entropy,3,0.4136001467704773,0.16854528930159812,0.28184684614340466,0.5636936922868093,0.4674641651304343,0.598003105615174,
