analysis_tier,dataset,model,corruption_scope,severity,coverage,mean_risk,std_risk,n_replicates,mean_aurc,std_aurc,mean_risk_at_80,std_risk_at_80
secondary/exploratory,hushem,resnet50,equal_mean_of_7_device_corruptions,1,0.28,0.03569230769230769,0.0395279475847259,5,0.05685175907262231,0.0327866458215563,0.09936507936507931,0.04514134995800499
secondary/exploratory,hushem,resnet50,equal_mean_of_7_device_corruptions,1,0.29,0.03545604395604396,0.040022032542897386,5,0.05685175907262231,0.0327866458215563,0.09936507936507931,0.04514134995800499
secondary/exploratory,hushem,resnet50,equal_mean_of_7_device_corruptions,1,0.3,0.035219780219780214,0.040547585088008556,5,0.05685175907262231,0.0327866458215563,0.09936507936507931,0.04514134995800499
secondary/exploratory,hushem,resnet50,equal_mean_of_7_device_corruptions,1,0.31,0.035009419152276296,0.04104102217368554,5,0.05685175907262231,0.0327866458215563,0.09936507936507931,0.04514134995800499
secondary/exploratory,hushem,resnet50,equal_mean_of_7_device_corruptions,1,0.32,0.03480690737833595,0.041537913330214185,5,0.05685175907262231,0.0327866458215563,0.09936507936507931,0.04514134995800499
secondary/exploratory,hushem,resnet50,equal_mean_of_7_device_corruptions,1,0.33,0.03534013605442176,0.041723584059812524,5,0.05685175907262231,0.0327866458215563,0.09936507936507931,0.04514134995800499
secondary/exploratory,hushem,resnet50,equal_mean_of_7_device_corruptions,1,0.34,0.036802721088435374,0.04156755169679153,5,0.05685175907262231,0.0327866458215563,0.09936507936507931,0.04514134995800499
secondary/exploratory,hushem,resnet50,equal_mean_of_7_device_corruptions,1,0.35000000000000003,0.037976190476190476,0.041383594136591505,5,0.05685175907262231,0.0327866458215563,0.09936507936507931,0.04514134995800499
secondary/exploratory,hushem,resnet50,equal_mean_of_7_device_corruptions,1,0.36,0.03695238095238095,0.04026792357366146,5,0.05685175907262231,0.0327866458215563,0.09936507936507931,0.04514134995800499
secondary/exploratory,hushem,resnet50,equal_mean_of_7_device_corruptions,1,0.37,0.035928571428571435,0.039152253010731414,5,0.05685175907262231,0.0327866458215563,0.09936507936507931,0.04514134995800499
secondary/exploratory,hushem,resnet50,equal_mean_of_7_device_corruptions,1,0.38,0.03614285714285715,0.04045019298155324,5,0.05685175907262231,0.0327866458215563,0.09936507936507931,0.04514134995800499
secondary/exploratory,hushem,resnet50,equal_mean_of_7_device_corruptions,1,0.39,0.03668487394957984,0.042428218933539937,5,0.05685175907262231,0.0327866458215563,0.09936507936507931,0.04514134995800499
secondary/exploratory,hushem,resnet50,equal_mean_of_7_device_corruptions,1,0.4,0.03688141923436041,0.04291817684186714,5,0.05685175907262231,0.0327866458215563,0.09936507936507931,0.04514134995800499
secondary/exploratory,hushem,resnet50,equal_mean_of_7_device_corruptions,1,0.41000000000000003,0.03668067226890755,0.041701093279524176,5,0.05685175907262231,0.0327866458215563,0.09936507936507931,0.04514134995800499
secondary/exploratory,hushem,resnet50,equal_mean_of_7_device_corruptions,1,0.42,0.036663324979114446,0.04068762786885459,5,0.05685175907262231,0.0327866458215563,0.09936507936507931,0.04514134995800499
secondary/exploratory,hushem,resnet50,equal_mean_of_7_device_corruptions,1,0.43,0.03777694235588972,0.04062487009023914,5,0.05685175907262231,0.0327866458215563,0.09936507936507931,0.04514134995800499
secondary/exploratory,hushem,resnet50,equal_mean_of_7_device_corruptions,1,0.44,0.03889055973266499,0.040622974269518865,5,0.05685175907262231,0.0327866458215563,0.09936507936507931,0.04514134995800499
secondary/exploratory,hushem,resnet50,equal_mean_of_7_device_corruptions,1,0.45,0.03941353383458647,0.039895542507926984,5,0.05685175907262231,0.0327866458215563,0.09936507936507931,0.04514134995800499
secondary/exploratory,hushem,resnet50,equal_mean_of_7_device_corruptions,1,0.46,0.03980150375939849,0.03906094081856319,5,0.05685175907262231,0.0327866458215563,0.09936507936507931,0.04514134995800499
secondary/exploratory,hushem,resnet50,equal_mean_of_7_device_corruptions,1,0.47000000000000003,0.04017142857142857,0.038007202593450515,5,0.05685175907262231,0.0327866458215563,0.09936507936507931,0.04514134995800499
secondary/exploratory,hushem,resnet50,equal_mean_of_7_device_corruptions,1,0.48,0.04052244897959184,0.0367088477984127,5,0.05685175907262231,0.0327866458215563,0.09936507936507931,0.04514134995800499
secondary/exploratory,hushem,resnet50,equal_mean_of_7_device_corruptions,1,0.49,0.04114100185528757,0.035682924813667825,5,0.05685175907262231,0.0327866458215563,0.09936507936507931,0.04514134995800499
secondary/exploratory,hushem,resnet50,equal_mean_of_7_device_corruptions,1,0.5,0.043135435992578845,0.03636066504757932,5,0.05685175907262231,0.0327866458215563,0.09936507936507931,0.04514134995800499
secondary/exploratory,hushem,resnet50,equal_mean_of_7_device_corruptions,1,0.51,0.045129870129870124,0.038052662158589455,5,0.05685175907262231,0.0327866458215563,0.09936507936507931,0.04514134995800499
secondary/exploratory,hushem,resnet50,equal_mean_of_7_device_corruptions,1,0.52,0.04519028797289667,0.03773345198480771,5,0.05685175907262231,0.0327866458215563,0.09936507936507931,0.04514134995800499
secondary/exploratory,hushem,resnet50,equal_mean_of_7_device_corruptions,1,0.53,0.04525559947299078,0.03638098953231738,5,0.05685175907262231,0.0327866458215563,0.09936507936507931,0.04514134995800499
secondary/exploratory,hushem,resnet50,equal_mean_of_7_device_corruptions,1,0.54,0.04600103519668738,0.03543433607713285,5,0.05685175907262231,0.0327866458215563,0.09936507936507931,0.04514134995800499
secondary/exploratory,hushem,resnet50,equal_mean_of_7_device_corruptions,1,0.55,0.04701169772256729,0.0355060596450725,5,0.05685175907262231,0.0327866458215563,0.09936507936507931,0.04514134995800499
